Chapter #,Chapter Name,BlockL1_Id,BlockL1,BlockL2_Id,BlockL2,code,Category,synonymous,synonymous DSM - 5,Defination,ClassKind,DepthInKind
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A2,- - Viral intestinal infections,1A2Z,"- - - Viral intestinal infections, unspecified",Diarrhoea (watery) ,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A3,- - Protozoal intestinal infections,1A31,- - - Giardiasis,Lambliasis,,"A condition caused by an infection with the protozoan parasite Giardia. This condition is characterised by gastroenteritis, or may be asymptomatic. Transmission is by the faecal-oral route from the ingestion of contaminated food or water. Confirmation is by identification of Giardia in a faecal sample.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A3,- - Protozoal intestinal infections,1A32,- - - Cryptosporidiosis,,,Any condition caused by an infection with the protozoan parasite Cryptosporidium.,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A3,- - Protozoal intestinal infections,1A33,- - - Cystoisosporiasis,,,"A disease caused by the protozoan parasite Cystoisospora belli. This disease is characterised by watery diarrhoea, fever, abdominal pain, nausea, or malaise. Transmission is by the faecal-oral route, commonly through the ingestion of contaminated food or water. Confirmation is by identification of Cystoisospora belli in a faecal sample.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A3,- - Protozoal intestinal infections,1A36,- - - Amoebiasis,,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A3,- - Protozoal intestinal infections,1A36.10,- - - - - Amoebic liver abscess,,,,category,3
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A3,- - Protozoal intestinal infections,1A36.1Y,- - - - - Amoebiasis of other specified sites,,,,category,3
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A3,  - - Protozoal intestinal infections,1A3Y,- - - Other specified protozoal intestinal infections,,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A3,- - Gastroenteritis or colitis without specification of infectious agent,1A40,- - Gastroenteritis or colitis without specification of infectious agent,,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A3,- - Gastroenteritis or colitis without specification of infectious agent,1A40.0,- - - Gastroenteritis or colitis without specification of origin,Neonatal and childhood ilnesses (Diarrhea),,There is no mention whether the gastroenteritis or colitis is infectious or non-infectious.,category,2
1,Certain infectious or parasitic diseases,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,BlockL2-1A3,- - Gastroenteritis or colitis without specification of infectious agent,1A40.Z,- - - Infectious gastroenteritis or colitis without specification of infectious agent,Diarrhoea (bloody) ,,,category,2
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A6,- - Syphilis,1A60,- - - Congenital syphilis,,,A disease caused by an infection with the gram-negative bacteria Treponema pallidum pallidum in utero. This disease may present with clinical signs depending on the stage of disease. Transmission is by vertical transmission.,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A6,- - Syphilis,1A61,- - - Early syphilis,,,"A disease caused by an infection with the gram-negative bacteria Treponema pallidum pallidum, including primary and secondary stages of syphilis, and early latent syphilis of less than 2 years duration. This disease is characterised by a single chancre in the primary stage, and diffuse rash in the secondary stage. Transmission is commonly by sexual contact.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A6,- - Syphilis,1A62,- - - Late syphilis,,,"A disease caused by an infection with the gram-negative bacteria Treponema pallidum pallidum. This disease is characterised by gummas, neurological abnormalities, or cardiac abnormalities. Clinical signs normally manifest approximately 3-15 years after initial infection. Transmission is commonly by sexual contact.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A6,- - Syphilis,1A62.0,- - - - Neurosyphilis,,,"A disease of the brain or spinal cord caused by an infection with the gram-negative bacteria Treponema pallidum pallidum. This disease is characterised by four different forms: meningovascular, tabes dorsalis, general paresis, or may be asymptomatic. Clinical signs normally manifest approximately 4-25 years after initial infection. Transmission is commonly by sexual contact.",category,2
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A6,- - Syphilis,1A62.1,- - - - Cardiovascular late syphilis,,,"This is a late, sexually transmitted infection caused by the spirochete bacterium Treponema pallidum subspecies pallidum. This diagnosis is involving the cardiovascular area.",category,2
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A6,- - Syphilis,1A6Z,"- - - Syphilis, unspecified",,,A predominantly sexually transmitted infection caused by Treponema pallidum ssp. pallidum.,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A7,- - Gonococcal infection,1A70,- - - Gonococcal genitourinary infection,,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A7,- - Gonococcal infection,1A72,- - - Gonococcal infection of other sites,,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A7,- - Gonococcal infection,1A73,- - - Disseminated gonococcal infection,,,"Disseminated gonococcal infection occurs when there is bacteremic dissemination of Neisseria gonorrhoeae from its initial focus of infection in female pelvic organs. It manifests as pain and swelling around one or more joints, intermittent crops of erythematous papules and pustules on the limbs, fever and rigors. Blood cultures may be but are not always positive.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A7,- - Gonococcal infection,1A7Z,"- - - Gonococcal infection, unspecified",Gonorrhoea,,A condition caused by an infection with the gram-negative bacteria Neisseria gonorrhoeae. Transmission is by sexual contact. Confirmation is by identification of Neisseria gonorrhoeae.,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A8,- - Sexually transmissible infections due to chlamydia,1A80,- - - Chlamydial lymphogranuloma,Durand-Nicolas-Favre disease,,"A disease of the inguinal lymph glands, caused by an infection with the gram-negative bacteria Chlamydia trachomatis. This disease is characterised by a genital ulcer, buboes, abscesses in the groin, blood in faeces, tenesmus, or proctocolitis. Transmission is by sexual contact. Confirmation is by identification of Chlamydia trachomatis in a blood sample or by polymerase chain reaction tests.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A8,- - Sexually transmissible infections due to chlamydia,1A8Z,"- - - Sexually transmissible infections due to chlamydia, unspecified",Chlamydia,,"An infection with the gram-negative bacteria Chlamydia trachomatis. This infection may be asymptomatic or characterised by fever, painful urination, urinary urgency, dyspareunia, vaginal bleeding or discharge, pain in the abdomen in females and by fever, urethritis, painful urination, discharge from the penis, swollen or tender testicles in males. Transmission is by anal, vaginal, or oral sex. Confirmation is by identification of Chlamydia trachomatis.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A8,- - Chancroid,1A90,- - Chancroid,Ulcus molle,,A disease caused by an infection with the gram-negative bacteria Haemophilus ducreyi. This disease is characterised by painful ulcer(s) on the genitalia. Transmission is by sexual contact. Confirmation is by identification of Haemophilus ducreyi from the ulcer exudate.,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A8,- - Granuloma inguinale,1A91,- - Granuloma inguinale,Donovanosis,,"A disease caused by infection with the gram-negative bacterium Klebsiella granulomatis. It commonly presents with painless genital ulceration following contact with an infected sexual partner. Small, painless nodules appear after an incubation period of about 10–40 days; later the nodules break down to create open, fleshy, oozing ulcers which gradually extend, mutilating the infected tissue. The lesions occur at the region of contact and are typically found on the shaft of the penis, the labia, or the perineum.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A8,- - Trichomoniasis,1A92,- - Trichomoniasis,Trichomoniasis ,,A disease caused by an infection with the protozoan parasite Trichomonas. This disease presents with symptoms depending on the site of infection.,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A8,- - Sexually transmissible infestations,1A93,- - Sexually transmissible infestations,,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A8,- - Anogenital herpes simplex infection,1A94,- - Anogenital herpes simplex infection,,,"A condition of the anogenital region, caused by an infection with herpes simplex virus type 1 or 2. This condition is characterised by vesicles, or may be asymptomatic. Transmission is by sexual contact. Confirmation is by identification of herpes simplex virus type 1 or 2.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A8,- - Anogenital warts,1A95,- - Anogenital warts,Condylomata acuminata,,"Anogenital warts are due to an infection of anogenital skin and mucous membranes by certain human papilloma viruses, most commonly HPV subtypes 6,11,16 and 18. Transmission is predominantly by sexual contact. They manifest typically as flat plaques or papillomatous, keratinous growths on and adjacent to the external genitalia and anus. Some HPV subtypes, including types 16 and 18, are oncogenic and predispose to the development of anogenital cancers.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A8,- - Anogenital warts,1A95.0,- - - Anal warts,Anal condyloma acuminata,,"Infection of the anus or perianal skin by human papillomavirus (HPV). Although the majority of such infections are sexually transmitted and caused by HPV subtypes responsible for genital warts, autoinoculation from common warts, especially on the hands in children, may also cause perianal warts.",category,2
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A8,- - Anogenital warts,1A95.1,- - - Genital warts,,,"Infection of anogenital mucosa or skin by the human papillomavirus. The infection is commonly asymptomatic but manifests typically as flat, papular or pedunculated growths depending on the site of infection. Transmission is by normally by sexual contact.",category,2
1,Certain infectious or parasitic diseases,BlockL1-1A6,- Predominantly sexually transmitted infections,BlockL2-1A8,"- - Predominantly sexually transmitted infections, unspecified",1A9Z,"- - Predominantly sexually transmitted infections, unspecified",(Sexually Transmitted Infections) STIs ,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B10,- - - Tuberculosis of the respiratory system,,,"This is a progressive or chronic disease resulting from infection with the bacterium Mycobacterium tuberculosis or other bacteria in the M. tuberculosis complex: M. bovis, M. africanum, M. canetti, M. microti and M. pinnipedii. The infection is limited to the respiratory system.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B10.0,"- - - - Respiratory tuberculosis, confirmed",,,"A disease of the respiratory tract, caused by an infection with the bacteria Mycobacterium tuberculosis, which has been confirmed by laboratory testing. This disease is characterised by chronic cough, and sputum production that may be haemorrhagic. Transmission is commonly by inhalation of infected respiratory secretions. Confirmation is by identification of Mycobacterium tuberculosis in clinical samples.",category,2
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B10.1,"- - - - Respiratory tuberculosis, not confirmed",TB Suspect case,,"A disease of the respiratory tract, caused by an infection with the bacteria Mycobacterium tuberculosis, which has not been confirmed. This disease is characterised by a chronic cough, and sputum production that may be haemorrhagic. Transmission is commonly by inhalation of infected respiratory secretions.",category,2
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B11,- - - Tuberculosis of the nervous system,,,"A disease of the central nervous system, caused by an infection with the bacteria Mycobacterium tuberculosis. This disease is characterised by neurological deficits depending on the site affected. Transmission is through haematogenous spread to the nervous system after inhalation of infected respiratory secretions. Confirmation is by identification of Mycobacterium tuberculosis in the cerebrospinal fluid. see comment",category,1
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B11.0,- - - - Tuberculous meningitis,Tuberculous leptomeningitis,,"A disease of the meninges, caused by an infection with the bacteria Mycobacterium tuberculosis. This disease is characterised by fever, headache, or neurological deficits. Transmission is through haematogenous spread to the meninges after inhalation of infected respiratory secretions. Confirmation is by identification of Mycobacterium tuberculosis in the cerebrospinal fluid.",category,2
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B11.3,- - - - Tuberculous granuloma of brain,,,,category,2
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B11.Z,"- - - - Tuberculosis of the nervous system, unspecified",,,"A disease of the central nervous system, caused by an infection with the bacteria Mycobacterium tuberculosis. This disease is characterised by neurological deficits depending on the site affected. Transmission is through haematogenous spread to the nervous system after inhalation of infected respiratory secretions. Confirmation is by identification of Mycobacterium tuberculosis in the cerebrospinal fluid. see comment",category,2
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B12,- - - Tuberculosis of other systems and organs,,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B12.4,- - - - Tuberculosis of the musculoskeletal system,,,,category,2
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B12.5,- - - - Tuberculosis of the genitourinary system,,,Tuberculosis involving the urinary tract and/or reproductive organs. The primary site of infection is most commonly the kidney as a result of haematogenous spread from distant sites: infection may then spread further down the urinary tract and/or to the reproductive organs. Genital infection may be sexually transmitted.,category,2
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B12.6,- - - - Tuberculous peripheral lymphadenopathy,,,"A disease of the peripheral lymph nodes, caused by an infection with the bacteria Mycobacterium tuberculosis. This disease is characterised by inflammation of the peripheral lymph nodes, typically the cervical lymph nodes. Transmission is through haematogenous spread to the peripheral lymph nodes after inhalation of infected respiratory secretions. Confirmation is by identification of Mycobacterium tuberculosis from lymph node biopsies.",category,2
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B12.7,- - - - Tuberculosis of the digestive system,,,Tuberculosis of the digestive tract or hepatobiliary system,category,2
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B12.Y,- - - - Tuberculosis of other specified organ or site,,,,category,2
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B13,- - - Miliary tuberculosis,Dissimnated Tuberculosis,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B14,- - - Latent tuberculosis,,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B1Z,"- - - Tuberculosis, unspecified",,,A disease caused by an infection with bacteria of the Mycobacterium tuberculosis complex. This disease presents with symptoms depending on the site of infection. Transmission is commonly by inhalation of infected respiratory secretions.,category,1
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B20,- - Leprosy,Infection due to Mycobacterium leprae,,"A disease caused by an infection with Mycobacterium leprae. This disease commonly presents with a long asymptomatic period followed by granulomatous lesions of the skin, respiratory tract, and peripheral nerves. Transmission is commonly by droplet transmission. Confirmation is by identification of Mycobacterium leprae with skin biopsy.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B20.0,- - - Paucibacillary leprosy,,,,category,2
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B20.1,- - - Multibacillary leprosy,,,,category,2
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B20.2,- - - Leprosy reactions,,,,category,2
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B20.20,- - - - Type I leprosy reaction,,,"This phenomenon, also named “upgrading reaction,” occurs in borderline leprosy states and is associated with an increase in cell-mediated immunity. It occurs typically within the first 6 months of treatment in previously untreated patients but may be related to stress, intercurrent infections, or pregnancy. Clinical features include inflammatory swelling, erythema and occasionally ulceration of existing lesions, constitutional symptoms and neuritis. If the neuritis is not treated promptly permanent motor nerve damage may ensue.",category,3
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B20.21,- - - - Type II leprosy reaction,,,"This phenomenon, also named downgrading reaction, occurs in borderline leprosy states and is associated with a decrease in cell-mediated immunity with a shift towards the lepromatous end of the clinical spectrum.",category,3
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B20.Z,"- - - Leprosy, unspecified",Hansen Disease,,"A disease caused by an infection with Mycobacterium leprae. This disease commonly presents with a long asymptomatic period followed by granulomatous lesions of the skin, respiratory tract, and peripheral nerves. Transmission is commonly by droplet transmission. Confirmation is by identification of Mycobacterium leprae with skin biopsy.",category,2
1,Certain infectious or parasitic diseases,BlockL1-1B1,- Mycobacterial diseases,BlockL2-1B1,- - Tuberculosis,1B2Z,"- - Mycobacterial diseases, unspecified",,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1B4,- Certain staphylococcal or streptococcal diseases,BlockL2-1B4,- - Acute rheumatic fever,1B40,- - - Acute rheumatic fever without mention of heart involvement,,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1B4,- Certain staphylococcal or streptococcal diseases,BlockL2-1B4,- - Acute rheumatic fever,1B41,- - - Acute rheumatic fever with heart involvement,,,"A disease of the cardiovascular system, caused as a result of rheumatic fever. Rheumatic heart disease is characterised by repeated inflammation with fibrinous repair. This disease may present with cardinal anatomic changes of the valve including leaflet thickening, commissural fusion, and shortening and thickening of the tendinous cords. Inflammation and valve scarring may also occur. Confirmation is by a thoracic radiography or echocardiography.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1B4,- Certain staphylococcal or streptococcal diseases,BlockL2-1B4,- - Acute rheumatic fever,1B42,- - - Rheumatic chorea,,,"Sydenham chorea is a movement disorder that occurs with rheumatic fever heumaragic fever. It is characterised by rapid, uncoordinated jerking movements affecting primarily the face, feet and hands. Sydenham's chorea (SC) results from childhood infection with Group A beta-haemolytic Streptococci",category,1
1,Certain infectious or parasitic diseases,BlockL1-1B4,- Certain staphylococcal or streptococcal diseases,BlockL2-1B4,- - Acute rheumatic fever,1B50,- - Scarlet fever,,,"A disease caused by an infection with the gram-positive bacteria Streptococcus pyogenes. This disease is characterised by a sore throat, fever, and a red rash. Transmission is commonly by inhalation of infected respiratory secretions, direct skin contact, or indirect contact.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1B4,- Certain staphylococcal or streptococcal diseases,BlockL2-1B4,- - Acute rheumatic fever,1B51,- - Streptococcal pharyngitis,Streptococcal sore throat,,"A disease of the pharynx, caused by an infection with the gram-positive bacteria Streptococcus pyogenes. This disease is characterised by fever, sore throat, tonsillar exudates, or large cervical lymph nodes. Transmission is commonly by inhalation of infected respiratory secretions, or indirect contact. Confirmation is by identification of Streptococcus pyogenes from a throat swab.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1B4,- Certain staphylococcal or streptococcal diseases,BlockL2-1B4,- - Acute rheumatic fever,1B52,- - Toxic shock syndrome,,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1B4,- Certain staphylococcal or streptococcal diseases,BlockL2-1B4,- - Acute rheumatic fever,1B53,- - Meningitis due to Streptococcus,,,"A disease of the meninges, caused by an infection with the gram-positive bacteria Streptococcus. This disease commonly presents with nausea, vomiting, photophobia, and confusion. Transmission is through haematogenous spread to the meninges after inhalation of infected respiratory secretions. Confirmation is by identification of Streptococcus in the cerebrospinal fluid.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1B7,- Pyogenic bacterial infections of the skin or subcutaneous tissues,,,1B70,"- - Bacterial cellulitis, erysipelas or lymphangitis",,,"Diffuse, spreading infections of skin and soft tissues by a range of bacterial organisms, most commonly beta-haemolytic streptococci and Staphylococcus aureus. The clinical presentation is dependent not only on the organism but also on the manner in which it invades the tissues.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1B7,- Pyogenic bacterial infections of the skin or subcutaneous tissues,,,1B70.0,- - - Erysipelas,,,,category,2
1,Certain infectious or parasitic diseases,BlockL1-1B7,- Pyogenic bacterial infections of the skin or subcutaneous tissues,,,1B70.Z,- - - Bacterial cellulitis or lymphangitis due to unspecified bacterium,,,"Diffuse, spreading infections of skin and soft tissues by a range of bacterial organisms, most commonly beta-haemolytic streptococci and Staphylococcus aureus. The clinical presentation is dependent not only on the organism but also on the manner in which it invades the tissues.",category,2
1,Certain infectious or parasitic diseases,BlockL1-1B7,- Pyogenic bacterial infections of the skin or subcutaneous tissues,,,1B71,- - Necrotising fasciitis,,,,category,1
1,Certain infectious or parasitic diseases,BlockL1-1B7,- Pyogenic bacterial infections of the skin or subcutaneous tissues,,,1B72,- - Impetigo,,,"A condition of the skin, commonly caused by a secondary infection with the gram-positive bacteria Staphylococcus aureus or group A beta haemolytic streptococci. This condition is characterised by bullous or non-bullous symptoms. Transmission is by direct contact with an infected individual. Confirmation is by identification of the infectious agent in a skin sample.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1B7,- Pyogenic bacterial infections of the skin or subcutaneous tissues,,,1B72.Z,"- - - Impetigo, unspecified",,,"A condition of the skin, commonly caused by a secondary infection with the gram-positive bacteria Staphylococcus aureus or group A beta haemolytic streptococci. This condition is characterised by bullous or non-bullous symptoms. Transmission is by direct contact with an infected individual. Confirmation is by identification of the infectious agent in a skin sample.",category,2
1,Certain infectious or parasitic diseases,BlockL1-1B7,- Pyogenic bacterial infections of the skin or subcutaneous tissues,,,1B73,- - Ecthyma,,,"Ecthyma is a superficial ulcerative bacterial pyoderma. It is characterised by small, purulent, shallow, punched-out ulcers with thick, brown-black crusts and surrounding erythema. The commonest form is caused by beta-haemolytic streptococci, often in association with Staphylococcus aureus. It is associated with poor hygiene and malnutrition. Ecthyma gangrenosum is an uncommon severe variant caused by Pseudomonas aeruginosa.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1B7,- Pyogenic bacterial infections of the skin or subcutaneous tissues,,,1B73.Z,"- - - Ecthyma, unspecified",,,"Ecthyma is a superficial ulcerative bacterial pyoderma. It is characterised by small, purulent, shallow, punched-out ulcers with thick, brown-black crusts and surrounding erythema. The commonest form is caused by beta-haemolytic streptococci, often in association with Staphylococcus aureus. It is associated with poor hygiene and malnutrition. Ecthyma gangrenosum is an uncommon severe variant caused by Pseudomonas aeruginosa.",category,2
1,Certain infectious or parasitic diseases,BlockL1-1B7,- Pyogenic bacterial infections of the skin or subcutaneous tissues,,,1B74,- - Superficial bacterial folliculitis,,,"Bacterial infection of the follicular ostium manifested as follicular papules and pustules with perifollicular erythema. The most commonly isolated organisms are coagulase-negative staphylococci and Staphylococcus aureus. The infection may be acute but is more commonly subacute or chronic; individual lesions heal without scarring. Commonly affected sites include the scalp, beard area, thighs and buttocks.",category,1
1,Certain infectious or parasitic diseases,BlockL1-1B7,- Pyogenic bacterial infections of the skin or subcutaneous tissues,,,1B75,- - Deep bacterial folliculitis or pyogenic abscess of the skin,"Superficial abscess (referral)
Abscess",,Single or multiple focal infections of skin and soft tissues most commonly centred on the hair follicle and most commonly due to Staphylococcus aureus. Pyogenic abscesses may develop in other locations in skin which has been injured as a result of either trauma or surgery.,category,1
